City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,severo-yeniseyskiy,60.3725,93.0408,51.75,99,25,3.22,RU,1660163815
309,pisco,-13.7,-76.2167,62.65,77,6,10.36,PE,1660163817
310,laguna,38.421,-121.4238,89.35,35,0,10.36,US,1660163819
311,lyndon,38.2567,-85.6016,81.66,89,100,4.61,US,1660163535
312,kupang,-10.1667,123.5833,73.29,83,32,4.5,ID,1660163824
313,mogadishu,2.0371,45.3438,75.92,86,100,18.03,SO,1660163826
314,rawson,-43.3002,-65.1023,54.32,46,100,5.3,AR,1660163833
315,notodden,59.5594,9.2585,67.71,62,4,3.98,NO,1660163835
316,yushala,57.0761,64.2601,62.91,90,14,2.04,RU,1660163838
317,pyu,18.4833,96.4333,73.08,97,90,1.83,MM,1660163840
318,abu kamal,34.4506,40.9171,90.23,26,0,12.37,SY,1660163842
319,singaraja,-8.112,115.0882,77.34,84,30,2.89,ID,1660163844
320,batemans bay,-35.7167,150.1833,52.11,85,100,4.23,AU,1660163847
321,barabai,-2.5833,115.3833,73.29,95,100,1.45,ID,1660163849
322,cumpas,29.9833,-109.7833,92.88,38,32,4.81,MX,1660163851
323,naze,28.3667,129.4833,77.92,77,100,2.3,JP,1660163854
324,ostrovnoy,68.0531,39.5131,58.93,69,100,23.15,RU,1660163856
325,savannah bight,16.45,-85.85,82.42,81,100,21.05,HN,1660163858
326,shelburne,44.0787,-80.2041,81.75,49,0,8.72,CA,1660163861
327,silver city,32.7701,-108.2803,84.16,57,40,6.91,US,1660163863
328,abu samrah,35.3029,37.1841,74.53,70,0,13.58,SY,1660163865
329,bilibino,68.0546,166.4372,64.38,77,20,2.24,RU,1660163867
330,shingu,33.7333,135.9833,79.18,90,100,1.66,JP,1660163870
331,hanna,51.6334,-111.9018,79.86,37,100,7.0,CA,1660163872
332,ketchikan,55.3422,-131.6461,72.07,46,0,16.11,US,1660163874
333,cabatuan,10.8794,122.486,74.89,88,98,0.83,PH,1660163877
334,sao felix do xingu,-6.6447,-51.995,90.39,28,17,1.79,BR,1660163729
335,huarmey,-10.0681,-78.1522,67.57,70,11,9.95,PE,1660163881
336,carutapera,-1.195,-46.02,79.05,81,55,8.23,BR,1660163883
337,sao joaquim,-28.2939,-49.9317,41.29,98,100,6.2,BR,1660163886
338,grand gaube,-20.0064,57.6608,70.38,59,92,15.01,MU,1660163888
339,los llanos de aridane,28.6585,-17.9182,69.55,89,75,14.97,ES,1660163893
340,narsaq,60.9167,-46.05,50.22,85,100,2.68,GL,1660163895
341,ossora,59.2353,163.0719,54.28,94,100,10.89,RU,1660163897
342,bambous virieux,-20.3428,57.7575,70.21,72,40,14.97,MU,1660163900
343,wanxian,30.8039,108.3897,82.0,69,69,3.31,CN,1660163904
344,clyde river,70.4692,-68.5914,42.4,71,99,4.25,CA,1660163906
345,bonito,-21.1211,-56.4819,61.57,55,0,5.59,BR,1660163909
346,trapani,37.8333,12.6667,77.09,78,0,2.3,IT,1660163911
347,kananga,-5.8958,22.4178,75.92,25,35,4.63,CD,1660163913
348,vengerovo,55.6848,76.7471,61.83,94,100,7.58,RU,1660163916
349,bardiyah,31.7561,25.0865,78.01,70,0,17.16,LY,1660163918
350,tairua,-37.0167,175.85,48.87,75,99,10.98,NZ,1660163920
351,ancud,-41.8697,-73.8203,51.22,94,100,15.57,CL,1660163924
352,salisbury,51.0693,-1.7957,77.29,50,0,4.61,GB,1660163815
353,bronnoysund,65.4625,12.1997,57.2,94,75,26.46,NO,1660163930
354,zilupe,56.3862,28.1217,56.17,69,10,1.01,LV,1660163933
355,puerto colombia,10.9878,-74.9547,89.69,78,99,14.65,CO,1660163935
356,canutama,-6.5339,-64.3831,81.43,62,84,4.16,BR,1660163937
357,kitimat,54.0524,-128.6534,89.2,30,0,0.67,CA,1660163772
358,asau,46.4333,26.4,60.28,88,73,5.03,RO,1660163942
359,dmitrov,56.35,37.5167,65.05,71,49,5.48,RU,1660163944
360,daru,-9.0763,143.2092,76.48,86,83,18.57,PG,1660163947
361,longyearbyen,78.2186,15.6401,49.84,71,75,10.36,SJ,1660163949
362,jaciara,-15.9653,-54.9683,67.19,40,98,7.05,BR,1660163952
363,miles city,46.4083,-105.8406,92.37,31,0,11.5,US,1660163954
364,inirida,3.8653,-67.9239,83.57,80,95,3.44,CO,1660163956
365,brae,60.3964,-1.353,56.12,95,100,17.13,GB,1660163959
366,mozarlandia,-14.7447,-50.5706,83.75,28,100,11.18,BR,1660163961
367,bondo,3.8146,23.6866,69.75,94,100,1.88,CD,1660163963
368,ambon,-3.6954,128.1814,75.34,94,40,3.44,ID,1660163966
369,aykhal,66.0,111.5,58.35,81,100,5.41,RU,1660163968
370,ventspils,57.3894,21.5606,53.53,100,0,2.3,LV,1660163970
371,emet,39.343,29.2585,65.86,60,53,5.46,TR,1660163973
372,lebyazhye,55.2689,66.4947,62.35,88,16,5.97,RU,1660163975
373,bealanana,-14.55,48.7333,51.89,92,52,5.53,MG,1660163977
